cell_id,mouse_id,condition,number_of_trials,pre_stim_integral_mean,post_stim_integral_mean,p-value_on_integrals,direction_of_effect_on_integrals,pre_stim_mean_all,post_stim_mean_all,p-value_on_means,direction_of_effect_on_means,integral_change_magnitude,mean_change_magnitude
C007,M351181,cr,46,-2.042661517929375,2.755219742897063,0.1858102815605033,1.0,-0.06936306342306284,0.09205765126825248,0.19577097788447986,1.0,4.797881260826438,0.1614207146913153
C008,M351181,hit,48,-1.0874967658118586,0.1446433839745612,0.7541841448636561,1.0,-0.03754234080221342,0.0022149853142593803,0.7683883880904954,1.0,1.2321401497864197,0.0397573261164728
C008,M351181,miss,84,-1.0874967658118586,0.3920281525879363,0.6396456514736361,1.0,-0.03754234080221342,0.012670744770497941,0.6437068784183333,1.0,1.479524918399795,0.05021308557271136
C008,M351181,fa,167,-1.0874967658118586,6.622505193919691,0.011030974475550704,1.0,-0.03754234080221342,0.22425660452637317,0.011662926105431912,1.0,7.7100019597315494,0.2617989453285866
C008,M351181,cr,46,-1.0874967658118586,-2.740088608020264,0.668670698182243,-1.0,-0.03754234080221342,-0.09597652292446425,0.659370950458271,-1.0,-1.6525918422084054,-0.05843418212225083
C009,M351181,hit,48,2.01061944168804,-2.134865415716007,0.3871918616955011,-1.0,0.0696164137420168,-0.07435688946683898,0.38427362586937375,-1.0,-4.145484857404047,-0.14397330320885576
C009,M351181,miss,84,2.01061944168804,6.844186858598065,0.2821943441276178,1.0,0.0696164137420168,0.23462960629138918,0.28691987541296476,1.0,4.833567416910025,0.16501319254937238
C009,M351181,fa,167,2.01061944168804,-1.9617007653714256,0.13796951301365853,-1.0,0.0696164137420168,-0.06665213284497312,0.140536810439087,-1.0,-3.9723202070594654,-0.13626854658698992
C009,M351181,cr,46,2.01061944168804,7.1115552703572975,0.3725893667202478,1.0,0.0696164137420168,0.24520832411666324,0.37392136226398864,1.0,5.100935828669257,0.17559191037464644
C010,M351181,hit,48,-0.7229475686461663,-2.055688512856582,0.6954999575275244,-1.0,-0.024421870251007453,-0.07351004119712488,0.6749681688618158,-1.0,-1.332740944210416,-0.049088170946117435
C010,M351181,miss,84,-0.7229475686461663,6.553624033695927,0.017906156566466717,1.0,-0.024421870251007453,0.2258244057274207,0.01801967521344208,1.0,7.276571602342093,0.2502462759784282
C010,M351181,fa,167,-0.7229475686461663,-0.7809748934330007,0.9783105379090425,-1.0,-0.024421870251007453,-0.026527643947961917,0.9771532356034498,-1.0,-0.05802732478683448,-0.0021057736969544646
C010,M351181,cr,46,-0.7229475686461663,1.3115902306986116,0.5783994185886963,1.0,-0.024421870251007453,0.04278184255941457,0.5931365952290083,1.0,2.0345377993447777,0.06720371281042202
C011,M351181,hit,48,-1.4095558151436232,1.9826075025224679,0.2676215400349656,1.0,-0.04736538786296288,0.06300486209760649,0.2952172467460334,1.0,3.392163317666091,0.11037024996056936
C011,M351181,miss,84,-1.4095558151436232,-1.0053660314443018,0.8542575096422862,1.0,-0.04736538786296288,-0.032873166434688156,0.8500781056187364,1.0,0.40418978369932135,0.01449222142827472
C011,M351181,fa,167,-1.4095558151436232,0.7204816923844392,0.31577400994337607,1.0,-0.04736538786296288,0.024321773237382268,0.32773178419586335,1.0,2.1300375075280624,0.07168716110034515
C011,M351181,cr,46,-1.4095558151436232,-4.012490131286113,0.32525330481518133,-1.0,-0.04736538786296288,-0.1385242689287135,0.3210437301632422,-1.0,-2.6029343161424903,-0.09115888106575062
C012,M351181,hit,48,-0.1640801264635847,9.096272006623648,0.04038841739179649,1.0,-0.0050466254684083545,0.3092750548455286,0.042979503004659525,1.0,9.260352133087233,0.3143216803139369
C012,M351181,miss,84,-0.1640801264635847,-0.3940355509111407,0.9456904599211882,-1.0,-0.0050466254684083545,-0.014457602624669193,0.9352299600030876,-1.0,-0.22995542444755598,-0.009410977156260839
C012,M351181,fa,167,-0.1640801264635847,2.410955114866082,0.3024658585129776,1.0,-0.0050466254684083545,0.0808774408375947,0.3167816448434303,1.0,2.5750352413296667,0.08592406630600305
C012,M351181,cr,46,-0.1640801264635847,-3.5697396831736907,0.43090124531808105,-1.0,-0.0050466254684083545,-0.12305403508346636,0.42670649597475807,-1.0,-3.405659556710106,-0.11800740961505801
C013,M351181,hit,48,1.8108109746530956,4.69614725515306,0.391670116318414,1.0,0.0615107602992913,0.15426172502323623,0.4235299750499666,1.0,2.8853362804999647,0.09275096472394494
C013,M351181,miss,84,1.8108109746530956,0.03892822687858417,0.48307289154860134,-1.0,0.0615107602992913,0.0021642052491697445,0.49523699375681973,-1.0,-1.7718827477745114,-0.059346555050121555
C013,M351181,fa,167,1.8108109746530956,1.1657263112069591,0.7329796709798717,-1.0,0.0615107602992913,0.04020239730892841,0.7433595157664075,-1.0,-0.6450846634461365,-0.021308362990362886
C013,M351181,cr,46,1.8108109746530956,1.2199315923057532,0.8606387580932902,-1.0,0.0615107602992913,0.04251903714250209,0.8698614315213161,-1.0,-0.5908793823473424,-0.01899172315678921
C014,M351181,hit,48,-1.3615706065746183,1.1807426588634549,0.44056783354679463,1.0,-0.04708495597908609,0.041192702424201914,0.4346320245032832,1.0,2.5423132654380733,0.088277658403288
C014,M351181,miss,84,-1.3615706065746183,4.33144932857292,0.066511220803395,1.0,-0.04708495597908609,0.14965410584777622,0.06472636935147302,1.0,5.693019935147539,0.1967390618268623
C014,M351181,fa,167,-1.3615706065746183,-3.823993554942039,0.17749841659481308,-1.0,-0.04708495597908609,-0.13155054325601906,0.1772721769959299,-1.0,-2.462422948367421,-0.08446558727693297
C014,M351181,cr,46,-1.3615706065746183,7.616603296227781,0.037394587307296674,1.0,-0.04708495597908609,0.26317729843245136,0.03614558627825266,1.0,8.9781739028024,0.31026225441153743
C015,M351181,hit,48,0.7904365379039011,-2.5305753327510185,0.4055158709365082,-1.0,0.028082023633091667,-0.09019482092891488,0.39099835493962987,-1.0,-3.3210118706549197,-0.11827684456200654
C015,M351181,miss,84,0.7904365379039011,-0.11930476935091101,0.7693455082572305,-1.0,0.028082023633091667,-0.0019004008236278198,0.7797223973111156,-1.0,-0.9097413072548122,-0.029982424456719486
C015,M351181,fa,167,0.7904365379039011,-2.0054253742525563,0.20698422043905973,-1.0,0.028082023633091667,-0.07079002282541536,0.19606938762526,-1.0,-2.7958619121564574,-0.09887204645850703
C015,M351181,cr,46,0.7904365379039011,2.933302633655694,0.6066037642896529,1.0,0.028082023633091667,0.10017913440536859,0.6159436260102331,1.0,2.142866095751793,0.07209711077227693
C016,M351181,hit,48,2.399163635817755,-2.073438129028678,0.48259944467860305,-1.0,0.08147146774479398,-0.07054621128068769,0.4816950563702712,-1.0,-4.4726017648464325,-0.1520176790254817
C016,M351181,miss,84,2.399163635817755,3.5599594241350565,0.8314569796923523,1.0,0.08147146774479398,0.12173155505198452,0.8280899936869377,1.0,1.1607957883173015,0.04026008730719054
C016,M351181,fa,167,2.399163635817755,2.2149931350833225,0.958694900587788,-1.0,0.08147146774479398,0.07498015083800208,0.9571644162752977,-1.0,-0.18417050073443253,-0.006491316906791902
