cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C092,20.1206,9.38079,0.13003900000000002,188.747,108.807,0.25,0.908489,1.45,1.6693099999999998,1.0,218.0,152.0,54.0,10.2956,218.0,152.0,54.0,10.2956,True,
C093,9.24945,6.49726,0.039776599999999995,60.0961,33.5031,0.15,0.711715,1.075,1.69633,1.0,159.0,182.0,65.5,13.3417,159.0,182.0,65.5,13.3417,False,5.580634994235945
C094,7.183669999999999,7.758939999999999,0.0566052,55.7376,37.1864,0.1,0.05514109999999999,0.4,0.31235799999999997,1.0,75.0,117.0,61.0,10.4403,75.0,117.0,61.0,10.4403,False,6.382789395778376
C095,6.9826,9.3772,0.027537700000000002,65.4773,46.4546,0.1,0.05,0.4,0.293684,1.0,107.0,101.0,63.5,10.7703,107.0,101.0,63.5,10.7703,False,7.450974401662403
C096,9.25948,7.25834,0.06731430000000001,67.2084,31.5634,0.15,0.13357,1.175,1.0783200000000002,1.0,253.0,76.0,48.0,19.4165,253.0,76.0,48.0,19.4165,False,5.632925777906212
C098,7.713760000000001,11.2446,0.0290675,86.7383,54.0095,0.15,0.295804,0.7,0.7707649999999999,1.0,212.0,112.0,66.5,12.2066,212.0,112.0,66.5,12.2066,False,6.2334412535698585
C099,7.387060000000001,7.9522699999999995,0.021418200000000002,58.7439,37.116,0.125,0.075,0.55,0.567734,1.0,297.0,161.0,65.0,12.1655,297.0,161.0,65.0,12.1655,False,8.62509927456648
C100,13.5682,8.03273,0.07649349999999999,108.99,44.8781,0.2,0.31249,1.05,1.0644200000000001,1.0,235.0,166.0,66.0,10.8167,235.0,166.0,66.0,10.8167,False,4.449817393972981
C101,14.8572,5.79314,0.082613,86.0697,32.3745,0.25,0.565604,1.35,1.42611,1.0,2.0,85.0,58.0,19.4165,2.0,85.0,58.0,19.4165,False,5.025373324031314
C102,8.786389999999999,6.89635,0.035187,60.593999999999994,60.3302,0.1,0.539424,0.6,0.84654,1.0,206.0,197.0,62.5,11.1803,206.0,197.0,62.5,11.1803,False,8.66709738436132
C104,10.1604,8.94283,0.0229481,90.8625,50.1475,0.1,0.0730297,0.7,0.307137,1.0,91.0,121.0,67.0,11.1803,91.0,121.0,67.0,11.1803,False,8.3901176072864
C105,10.7558,8.978810000000001,0.016828599999999996,96.5742,37.5631,0.2,0.0879049,0.7,0.6297550000000001,1.0,139.0,49.0,58.0,13.3417,139.0,49.0,58.0,13.3417,False,7.096533697590337
